binary_accuracy,f1,precision,recall,threshold
0.9841784113331845,0,0.0,0.0,0.5
0.9841784113331845,5.909904779552398e-06,0.0443213296398892,2.9551494128775066e-06,0.49
0.984178326796957,1.1486116045018553e-05,0.11080331353269456,5.743355706973914e-06,0.48
0.9841781154563882,2.143053679295369e-05,0.2770082785482222,1.0715682901844506e-05,0.47
0.9841779463839333,8.192972675411111e-05,0.38907794080612734,4.096917690028155e-05,0.46
0.9841774814346821,0.00016605699262907395,0.380405229214486,8.304662234343361e-05,0.45
0.9841761280294931,0.0002662027407749877,0.3368696743761734,0.00013315398117057836,0.44
0.984174141428147,0.00047921414804530014,0.3043084212287311,0.00023979588506557563,0.43
0.9841701257922313,0.0007485215144106719,0.27235675559809996,0.0003747757576816197,0.42
0.9841647161341109,0.0011149718212352172,0.2775710216849795,0.0005586078433046463,0.41
0.9841576575242251,0.0017145399178122172,0.28638290937917715,0.000859843849586942,0.4
0.9841483161059773,0.002601807203070824,0.29085222142555045,0.001306748334666678,0.39
0.9841329727806873,0.003759477652153132,0.2819018010617623,0.001892357182023412,0.38
0.9841142899441917,0.005594635418917111,0.28350852665148285,0.002825193284492207,0.37
0.9840881264771121,0.008451653188955096,0.2933509547954781,0.004287590891886451,0.36
0.984050803567564,0.012124008237928908,0.29576070404448995,0.006188852786037482,0.35
0.9839975455791335,0.017716947126961136,0.30147241117881607,0.009126651335579867,0.34
0.983919603177385,0.025391395278692958,0.3032478122169621,0.013250437152373328,0.33
0.9838119035282293,0.03523400485004496,0.3041984215997923,0.01869997136047177,0.32
0.983643972642534,0.0474561702277854,0.29887512557394286,0.025774343806084173,0.31
0.9834154708894006,0.06271529185005136,0.294393155548381,0.03509593190537595,0.3
0.9831078869814358,0.08049696538484788,0.28885449291596454,0.04676457760736883,0.29
0.9826921369890758,0.10024404537999479,0.2814089229067277,0.060983931238136134,0.28
0.9821642503513854,0.12152910098088827,0.27460596287349587,0.07803122748793657,0.27
0.9815229595202819,0.14358410506527106,0.26854430489923153,0.09798793463743294,0.26
0.9807738840084657,0.16513735694169113,0.26322639632423167,0.12030626724053618,0.25
0.9798633018689142,0.18486979349101657,0.25652326234820144,0.14450568253809065,0.24
0.9787926926507183,0.20252968928735152,0.24964060099831578,0.17037700294127425,0.23
0.9775566040974244,0.21822140942560198,0.24280031962407922,0.1981613455634368,0.22
0.9761338585631669,0.2312771396631305,0.2356631300125756,0.22705142410508153,0.21
0.9745046346141361,0.24165821599919707,0.2282026690789537,0.2567999484301274,0.2
0.9726289451287394,0.2495765978718758,0.22041618039733485,0.287629086720316,0.19
0.9705279243289598,0.255952481725786,0.21319146607060843,0.3201709828878704,0.18
0.9681403671605435,0.26006723745669286,0.20570312106047972,0.35348879523224447,0.17
0.9654340247037998,0.2619368872326442,0.1979227410706787,0.3871541385670448,0.16
0.9623415622024325,0.262130668994904,0.19009266306653907,0.42208514385276225,0.15
0.9587904913273545,0.2600017194981879,0.1817262230074637,0.4567307746476414,0.14
0.9547594237525707,0.25660213210801125,0.17350445431850622,0.4924588025111571,0.13
0.9501576938787656,0.25185506074076736,0.16527523166420058,0.5289432691239915,0.12
0.9448460715299167,0.24592585489040228,0.15703012367034552,0.5667881670090631,0.11
0.938701175421559,0.2386574264441833,0.148637475812204,0.6051677777496401,0.1
0.9315737145759392,0.2301725780996453,0.14012760959999052,0.6440062356127266,0.09
0.9231517511391574,0.2202076925428913,0.13127675470883166,0.682668404400844,0.08
0.9130808233884563,0.20904203411507186,0.1222117265423249,0.7220566233109239,0.07
0.9007027745246887,0.19638282875083699,0.11271737354944288,0.7619378659203442,0.06
0.8850919354985626,0.18215704810098998,0.10273846092316583,0.8025144120662827,0.05
0.8647276232447321,0.16611544735811234,0.0921291318255118,0.8435334239640064,0.04
0.8368786416555706,0.1479603520130989,0.08073187957922838,0.884600248858539,0.03
0.7970250088752472,0.12746054060205794,0.06845771853613392,0.9228718516899278,0.02
0.7341710140830592,0.10387585051538817,0.054925402177502906,0.9548898651329104,0.01
